ID Progetto,File,Indirizzo,Imprese,Valore Stimato,Latitudine,Longitudine
409086,DEFINITIVO PIEMONTE MAGGIO ,Via Venezia  10070 Robassomero ( TO ),Intercostruzioni SpA; assegnato,3000000,45.1960639,7.5696737
409306,DEFINITIVO EMILIA ROMAGNA MAGGIO,p.le Farini 21  48121 Ravenna ( RA ),CEAR Consorzio Edili Artigiani Ravenna Soc.; Safer srl; Stylcasa srl,4643000,44.4187463,12.205547
409332,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Di Vittorio-Via Cecilio  22100 Como ( CO ),Consorzio Stabile GECO General Contract; Paladino Costruzioni srl,6953000,45.7850225,9.0645551
410608,DEFINITIVO PIEMONTE MAGGIO ,Via Principi di Villafranca 4  10068 Villafranca Piemonte ( TO ),Capogruppo ATI; MIT srl,4500000,44.7833939,7.508184699999999
412054,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Monte Grappa  20812 Limbiate ( MB ),Consorzio Nazionale Coop.Produzione Lavoro Ciro,14360000,45.6116537,9.1242718
414116,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Via Piave   38122 Trento ( TN ),Habitat SpA Impresa Costruzioni,23000000,46.0625814,11.1262839
414437,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Mosè Bianchi  20841 Carate Brianza ( MB ),Multi Manutenzione srl,2368000,45.7024974,9.2779206
414828,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Lorenteggio 181  20147 Milano ( MI ),ArCo Lavori s.coop.consortile,14447000,45.44790159999999,9.130645
415252,DEFINITIVO LIGURIA MAGGIO 2025,Zona Ambito R14  17019 Varazze ( SV ),La Piana Costruzioni srl; assegnato,10000000,44.359405,8.577279500000001
416348,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Quadrio  20025 Legnano ( MI ),Cozzi Costruzioni srl,4500000,45.5916411,8.9070091
416425,DEFINITIVO PIEMONTE MAGGIO ,Str. Castelvecchio  10024 Moncalieri ( TO ),Sinfonia Costruzioni srl,2000000,45.0075266,7.7028055
417201,DEFINITIVO PIEMONTE MAGGIO ,Via Vernante  12100 Cuneo ( CN ),Effettotetto snc; assegnato,1200000,44.3635511,7.5235391
417532,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Dante Alighieri  21010 Golasecca ( VA ),Impresa Ielmini Felice srl; assegnato,2000000,45.7038285,8.664906
419153,DEFINITIVO VENETO FINO A MAGGIO 2025,loc. Ca' Oddo  35043 Monselice ( PD ),Foen sas di Morato geom. Giovanni & C.,450000,45.2280798,11.7453673
420104,DEFINITIVO PIEMONTE MAGGIO ,P.za XVIII Dicembre  10121 Torino ( TO ),Gruppo Dimensione SpA,15000000,45.0736907,7.6683459
420605,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Giuffrè 8  20159 Milano ( MI ),Capogruppo ATI; Edil Isotermo srl,7004000,45.4972978,9.1899608
422781,DEFINITIVO PIEMONTE MAGGIO ,Via Nino Bixio  12051 Alba ( CN ),Taricco Costruzioni srl; assegnato,3500000,44.7031886,8.0366779
423819,DEFINITIVO PIEMONTE MAGGIO ,Via Bacchiasso  10051 Avigliana ( TO ),Vanzetti Costruzioni srl; assegnato,3000000,45.0741297,7.4131289
425282,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,V.le Europa  27055 Rivanazzano Terme ( PV ),Casearroli srl; assegnato,8000000,44.9359913,9.0130456
425973,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,C.so Europa 250  20017 Rho ( MI ),Capogruppo ATI,3690000,45.53364819999999,9.033947099999999
426026,DEFINITIVO PIEMONTE MAGGIO ,Loc.Vocogno  28852 Craveggia ( VB ),UNYCA srl,7600000,46.1406318,8.4831209
428128,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Pestalozzi 18  20143 Milano ( MI ),Impresa Edile Mariani srl,15000000,45.4453091,9.1550683
428807,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Giambellino 150  20147 Milano ( MI ),ArCo Lavori s.coop.consortile; Paolo Beltrami Costruzioni SpA,5235000,45.4447783,9.1297961
429003,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Loc.Linate  20090 Milano ( MI ),3Emmegi SpA; Capogruppo ATI; Nuova CCS Srl; SaPro Edil Restauri 85 Srl; assegnato; integrato; integrato aggiudicato a favore delle imprese,13375000,45.4451354,9.2720947
430931,DEFINITIVO VENETO FINO A MAGGIO 2025,Via delle Melette  35138 Padova ( PD ),Prearo Costruzioni,5000000,45.4095551,11.8607794
433170,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Fetonte  20151 Milano ( MI ),ImpreDo SpA,50000000,45.483447,9.1229924
434877,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Bolla 38-42  20151 Milano ( MI ),"Capogruppo ATI; Sitalcea srl; assegnato; integrato, comprensivo di servizio di coordinamento della",16946000,45.503896,9.1069014
435310,DEFINITIVO PIEMONTE MAGGIO ,via C.Ramo  10090 Buttigliera Alta ( TO ),MIRO srl Costruzioni Edili,3500000,45.0823375,7.4266597
435599,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Ferdinando Magellano  20861 Brugherio ( MB ),Devero Costruzioni SpA,12000000,45.5407774,9.3063913
436836,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Castelfidardo 56  41049 Sassuolo ( MO ),Edilcosti; assegnato,1050000,44.5443016,10.7743804
436951,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Pietro Nenni 20  20056 Trezzo sull'Adda ( MI ),Elleterm Energy srl,3804000,45.61452560000001,9.506566
437464,DEFINITIVO PIEMONTE MAGGIO ,Via XXIV Maggio 20  28921 Verbania ( VB ),Frua Immobiliare srl,2000000,45.9413754,8.5614394
438531,DEFINITIVO VENETO FINO A MAGGIO 2025,Str. Madonna Marina  30015 Chioggia ( VE ),Dicataldo Sabino; assegnato,1767000,45.2030899,12.2872742
439040,DEFINITIVO VENETO FINO A MAGGIO 2025,Via R. Menaldi  32043 Cortina d'Ampezzo ( BL ),Carron SpA,7000000,46.5378431,12.1358821
440953,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Brera 19  20121 Milano ( MI ),Infrastrutture srl,20000000,45.4717221,9.1871893
442902,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Brigata Bisagno 4  31015 Conegliano ( TV ),Eurosaf srl; Infratech Consorzio Stabile scarl,43823000,45.8816625,12.290304
443130,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Lorenteggio 179  20147 Milano ( MI ),ArCo Lavori s.coop.consortile; Paolo Beltrami Costruzioni SpA,13459000,45.4484151,9.1323856
443131,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Manzano 4  20147 Milano ( MI ),Capogruppo ATI; SCS società cooperativa,9308000,45.4466099,9.1290335
443408,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Loc.Maguzzano  25017 Lonato del Garda ( BS ),DISMA srl Demolizioni Industriali Strade Manufatti,341000,45.4859645,10.5022924
443862,DEFINITIVO VENETO FINO A MAGGIO 2025,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,4800000,45.4297674,11.8880823
445180,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Casa di Ricovero 40  35013 Cittadella ( PD ),Alfredo Cecchini Srl; Capogruppo ATI; Gruppo ECF SpA; TSB srl; integrato,34213000,45.64594959999999,11.7861048
445445,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Anfiteatro 7  20121 Milano ( MI ),Masi Group srl,4500000,45.4743475,9.182671
445621,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Verdi  26020 Agnadello ( CR ),Domus Costruzioni srl,2000000,45.4418093,9.5626392
445991,DEFINITIVO VENETO FINO A MAGGIO 2025,Cannaregio 2292  30121 Venezia ( VE ),Ricci SpA,15000000,45.4463626,12.3304767
446522,DEFINITIVO PIEMONTE MAGGIO ,C.so Bagni  15011 Acqui Terme ( AL ),Costruzioni Imm.re Piemonte srl; assegnato,3500000,44.6704051,8.4687066
446881,DEFINITIVO PIEMONTE MAGGIO ,Via Venaria  10093 Collegno ( TO ),Met srl,25000000,45.0918859,7.5732355
446974,DEFINITIVO PIEMONTE MAGGIO ,via Pisa 38  10152 Torino ( TO ),Perino Piero srl,35000000,45.0757341,7.6940428
447227,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Bergamo  47838 Riccione ( RN ),I Platani srl; integrato aggiudicato all'impresa segnalata che ha indicato i,4497000,43.99267,12.6623023
447291,DEFINITIVO PIEMONTE MAGGIO ,Via Coppino 26  12100 Cuneo ( CN ),MIT srl,5652000,44.3854942,7.536607200000001
447604,DEFINITIVO PIEMONTE MAGGIO ,Via del Molino  10045 Piossasco ( TO ),ICR Costruzioni srl; assegnato,2500000,44.9863552,7.4624815
448261,DEFINITIVO PIEMONTE MAGGIO ,via don Orione  12042 Bra ( CN ),Mondavi Costruzioni Bra,6000000,44.7141578,7.8318533
448284,DEFINITIVO PIEMONTE MAGGIO ,P.za Mafalda di Savoia  10098 Rivoli ( TO ),Capogruppo ATI; MIT srl; integrato,6388000,45.0701441,7.5101144
448343,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Comelli  24058 Romano di Lombardia ( BG ),Cortesi Costruzioni srl,4200000,45.5217732,9.752745899999999
448515,DEFINITIVO PIEMONTE MAGGIO ,Via N. Bixio 1  10043 Orbassano ( TO ),Martignon Costruzioni di Martignon Gabriele sas; assegnato,600000,45.00893079999999,7.5387621
449507,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Trieste  21020 Buguggiate ( VA ),Gabri Luigi sas di Alessandro Gabri Gabricasa,8000000,45.7855318,8.809057
449737,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via dell'Agricoltura  48123 Ravenna ( RA ),Epi srl; assegnato,10000000,44.4352094,12.1982337
449813,DEFINITIVO VENETO FINO A MAGGIO 2025,C.so Australia  35136 Padova ( PD ),Brenta Lavori srl; Elettro TC srl; Suardi SpA; assegnato,32920000,45.4171504,11.8544031
449865,DEFINITIVO PIEMONTE MAGGIO ,Via Ospedale 72  12010 Entracque ( CN ),Cornaglia Fratelli srl,1288000,44.2382582,7.3972256
451195,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Caudana 4  26100 Cremona ( CR ),CREAMI srl; assegnato,410000,45.1428915,10.0727239
451476,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Kennedy 2  26900 Lodi ( LO ),Impresa Edile FAC srl; aggiudicato a favore; assegnato,377000,45.303961,9.4973061
451747,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,V.le Jenner 24  20158 Milano ( MI ),De Martino Costruzioni srl,4000000,45.49741299999999,9.1807251
451770,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Passerini 13  20162 Milano ( MI ),Edilvit srl,10000000,45.5152095,9.1924221
451850,DEFINITIVO EMILIA ROMAGNA MAGGIO,V.le d'Annunzio  47838 Riccione ( RN ),Orlandi Maurizio srl,10000000,44.0127458,12.6465316
451922,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via della Beverara  40131 Bologna ( BO ),ITI Impresa Generale SpA; aggiudicato all'impresa segnalata che ha; assegnato,7546000,44.5175076,11.3311626
452180,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,P.zza IV Novembre  20053 Rodano ( MI ),Capogruppo ATI; Consorzio Stabile Costruendo srl; De Rose Service srl,4366000,45.4764049,9.3557543
452249,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Ciotti  25018 Montichiari ( BS ),TF Costruzioni srl,3143000,45.412406,10.4024836
452699,DEFINITIVO VENETO FINO A MAGGIO 2025,V.le Piave  37135 Verona ( VR ),5D Costruzioni srl; assegnato,21000000,45.4269915,10.9860288
452821,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Viarana  20842 Besana in Brianza ( MB ),Multi Manutenzione srl,855000,45.7001384,9.2865266
452829,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Roma 85  20865 Usmate Velate ( MB ),Multi Manutenzione srl; integrato,778000,45.6558289,9.3698695
453271,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Emilia  40064 Ozzano dell'Emilia ( BO ),Futura Costruzioni srl,10000000,44.4439504,11.478654
454237,DEFINITIVO EMILIA ROMAGNA MAGGIO,via Matteotti  41039 San Possidonio ( MO ),Emiliana Scavi srl,5000000,44.8746366,10.9819875
454239,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Ghiarella  41042 Fiorano Modenese ( MO ),Research Consorzio Stabile scarl; assegnato; integrato aggiudicato al Consorzio,1750000,44.5303883,10.8387604
454307,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via S.Eufemia 25  41121 Modena ( MO ),AEC Costruzioni srl,10000000,44.6469567,10.9237794
454717,DEFINITIVO PIEMONTE MAGGIO ,P.za Europa  12100 Cuneo ( CN ),Barra Costruzioni srl,3000000,44.384053,7.5413579
454879,DEFINITIVO PIEMONTE MAGGIO ,V.le Dante Alighieri 21  28100 Novara ( NO ),Notarimpresa SpA; assegnato,4000000,45.4496956,8.6162723
455789,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via Costa 106  47822 Santarcangelo di Romagna ( RN ),Zanon Prefabbricati,5000000,44.0686715,12.4332105
456600,DEFINITIVO PIEMONTE MAGGIO ,Lungolago  28838 Stresa ( VB ),Bertini srl,55000000,45.8880978,8.5320392
456942,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Manara  20900 Monza ( MB ),Edilvit srl + Edilvit srl; assegnato,12800000,45.5893832,9.2601881
457040,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via delle Rose  20072 Pieve Emanuele ( MI ),Capogruppo ATI; DP Costruzioni srl; assegnato,5748000,45.3410142,9.1878144
457187,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Via Antonio Pacinotti  39100 Bolzano ( BZ ),Habitat SpA Impresa Costruzioni; assegnato,1000000,46.4827162,11.3313806
457918,DEFINITIVO PIEMONTE MAGGIO ,Via Beppe Fenoglio  14053 Canelli ( AT ),Olivieri Costruzioni Generali srl; assegnato,1200000,44.7262369,8.3000168
458211,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Scalo Porta Romana   20139 Milano ( MI ),CCL Consorzio Coop Lavoratori; CEV SpA; Fondamenta SpA; Grassi & Crespi srl,50000000,45.4457871,9.205964999999999
458776,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,V.le Suzzani 96  20162 Milano ( MI ),Proedil srl,20000000,45.5130265,9.2019324
458888,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Ex S.S.11  20011 Corbetta ( MI ),MAPE Costruzioni Edili srl,7000000,45.48045519999999,8.9415893
459380,DEFINITIVO PIEMONTE MAGGIO ,Via Bergamo  10036 Settimo Torinese ( TO ),Bonarrigo Costruzioni srl,1800000,45.1502372,7.7826872
459391,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Santa Margherita  20861 Brugherio ( MB ),Staff Costruzioni srl,5000000,45.5608559,9.3097373
459429,DEFINITIVO PIEMONTE MAGGIO ,Via Giuseppe Verdi 9  10124 Torino ( TO ),Alma CIS srl; Capogruppo ATI; Consorzio San Luca srl,3000000,45.0700748,7.689665300000001
459540,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,1500000,45.3640416,11.9099118
459556,DEFINITIVO TRENTINO FINO A MAGGIO 2025,Via Dante 27  39031 Brunico ( BZ ),Elpo srl; Schmidhammer srl; Unionbau SpA + Wipptaler Bau SpA,9029000,46.7985767,11.9483053
459789,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,C.so di Porta Ticinese 32  20123 Milano ( MI ),Gruppo Building  SpA,5000000,45.457978,9.1807232
460164,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,P.za del Collegio Borromeo  27100 Pavia ( PV ),Damiani Costruzioni srl,6000000,45.1800969,9.1604279
460271,DEFINITIVO PIEMONTE MAGGIO ,via Almellina  12015 Limone Piemonte ( CN ),Fantino Costruzioni SpA,5600000,44.2002714,7.5870494
460299,DEFINITIVO PIEMONTE MAGGIO ,C.so Italia  10040 Piobesi Torinese ( TO ),SGM Edile srl,350000,44.9280717,7.608298
460721,DEFINITIVO PIEMONTE MAGGIO ,Via Verbano  28100 Novara ( NO ),Centauro Group; assegnato,4000000,45.4776045,8.6285092
460962,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Rovello 14  20121 Milano ( MI ),SMV Costruzioni srl,15000000,45.46773049999999,9.1840681
461433,DEFINITIVO EMILIA ROMAGNA MAGGIO,Via C. Breveglieri 2/2  44042 Cento ( FE ),Attiva Costruzioni srl; Cires Società Cooperativa; Consorzio Integra Società Cooperativa,1644000,44.7306825,11.2910966
461520,DEFINITIVO VENETO FINO A MAGGIO 2025,Via Bartolomeo da Breganze  36100 Vicenza ( VI ),Capogruppo ATI; ISI Industria Serramenti Italiana Srl; TSB srl,6515000,45.5690112,11.5410241
461893,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,P.za Battisti 85  46024 Moglia ( MN ),Capogruppo ATI; SIME Restauri srl; Selva Mercurio srl,1411000,44.9601894,10.9487866
462518,DEFINITIVO LOMBARDIA PARTE 1 MAGGIO ,Via Monte Cervino  20861 Brugherio ( MB ),Devero Costruzioni SpA,6400000,45.5523275,9.2794103
462603,DEFINITIVO TRENTINO FINO A MAGGIO 2025,P.za Righi  38086 Pinzolo ( TN ),Pavoni SpA,1600000,46.2307443,10.8265439
463290,DEFINITIVO VENETO FINO A MAGGIO 2025,Via San Giovanni Lupatoto  37134 Verona ( VR ),Veco Costruzioni srl,2500000,45.4129873,10.9982733
463304,DEFINITIVO LOMBARDIA PARTE 2 MAGGIO ,Via Cartesio  20015 Parabiago ( MI ),Arcos 93 srl; assegnato,800000,45.5488699,8.9441859
